Genre,max
atl hip hop,Young Thug
australian pop,Tones and I
big room,Martin Garrix
boy band,Jonas Brothers
brostep,Marshmello
canadian hip hop,Y2K
canadian pop,Shawn Mendes
country rap,Lil Nas X
dance pop,Taylor Swift
dfw rap,Post Malone
edm,The Chainsmokers
electropop,Billie Eilish
escape room,Lizzo
latin,Nicky Jam
panamanian pop,Sech
pop,Sam Smith
pop house,MEDUZA
r&b en espanol,ROSALÍA
reggaeton,Maluma
reggaeton flow,Jhay Cortez
trap music,Lil Tecca
